Guinea-Bissau	2149.0	32.0	33.0	NULL	1015.0	1101.0	5.0	1089.0	17.0	1500.0	760.0	1974061.0	3.15%	192.0	118.0	116.0	97.0	NULL	NULL	Guinea-Bissau	2149.00	32	33		1015.00	1101.00	5	1089.00	17	1500.00	760	1974061	3.15%	192	118	116	97
Guyana	846.0	70.0	29.0	2.0	399.0	418.0	8.0	1075.0	37.0	6502.0	8261.0	787081.0	6.78%	158.0	89.0	117.0	37.0	NULL	NULL	Guyana	846	70	29	2	399	418	8	1075.00	37	6502.00	8261.00	787081	6.78%	158	89	117	37
Haiti	7997.0	48.0	196.0	NULL	5447.0	2354.0	NULL	700.0	17.0	21400.0	1874.0	1.1421419E7	3.47%	184.0	118.0	135.0	88.0	NULL	NULL	Haiti	7997.00	48	196		5447.00	2354.00		700	17	21400.00	1874.00	11421419	3.47%	184	118	135	88
Honduras	52298.0	628.0	1608.0	15.0	7867.0	42823.0	43.0	5269.0	162.0	127946.0	12890.0	9925734.0	16.97%	142.0	36.0	50.0	9.0	NULL	NULL	Honduras	52298.00	628	1608.00	15	7867.00	42823.00	43	5269.00	162	127946.00	12890.00	9925734	16.97%	142	36	50	9
Hong Kong	4605.0	18.0	73.0	1.0	3827.0	705.0	31.0	614.0	10.0	780415.0	103981.0	7505365.0	1.87%	52.0	134.0	140.0	143.0	NULL	NULL	Hong Kong	4605.00	18	73	1	3827.00	705	31	614	10	780415.00	103981.00	7505365	1.87%	52	134	140	143
Hungary	5046.0	44.0	609.0	NULL	3678.0	759.0	7.0	523.0	63.0	390079.0	40394.0	9656850.0	14.21%	102.0	70.0	148.0	13.0	NULL	NULL	Hungary	5046.00	44	609		3678.00	759	7	523	63	390079.00	40394.00	9656850	14.21%	102	70	148	13
Iceland	2040.0	5.0	10.0	NULL	1913.0	117.0	1.0	5973.0	29.0	191690.0	561236.0	341550.0	0.52%	10.0	99.0	43.0	186.0	NULL	NULL	Iceland	2040.00	5	10		1913.00	117	1	5973.00	29	191690.00	561236.00	341550	0.52%	10	99	43	186
India	2904329.0	68507.0	54975.0	981.0	2157941.0	691413.0	8944.0	2102.0	40.0	3.2661252E7	23636.0	1.381863561E9	2.48%	123.0	87.0	90.0	121.0	NULL	NULL	India	2904329.00	68507.00	54975.00	981	2157941.00	691413.00	8944.00	2102.00	40	32661252.00	23636.00	1381863561	2.48%	123	87	90	121
Indonesia	147211.0	2266.0	6418.0	72.0	100674.0	40119.0	NULL	537.0	23.0	1969941.0	7192.0	2.73918933E8	5.99%	163.0	107.0	147.0	44.0	NULL	NULL	Indonesia	147211.00	2266.00	6418.00	72	100674.00	40119.00		537	23	1969941.00	7192.00	273918933	5.99%	163	107	147	44
Iran	352558.0	2279.0	20264.0	139.0	304236.0	28058.0	3869.0	4190.0	241.0	2939840.0	34940.0	8.4138745E7	6.24%	108.0	25.0	56.0	41.0	NULL	NULL	Iran	352558.00	2279.00	20264.00	139	304236.00	28058.00	3869.00	4190.00	241	2939840.00	34940.00	84138745	6.24%	108	25	56	41
Iraq	192797.0	3995.0	6208.0	87.0	137200.0	49389.0	614.0	4779.0	154.0	1368727.0	33929.0	4.0340634E7	4.33%	110.0	38.0	52.0	76.0	NULL	NULL	Iraq	192797.00	3995.00	6208.00	87	137200.00	49389.00	614	4779.00	154	1368727.00	33929.00	40340634	4.33%	110	38	52	76
Ireland	27676.0	129.0	1776.0	1.0	23364.0	2536.0	6.0	5596.0	359.0	735598.0	148747.0	4945309.0	7.06%	34.0	18.0	46.0	36.0	NULL	NULL	Ireland	27676.00	129	1776.00	1	23364.00	2536.00	6	5596.00	359	735598.00	148747.00	4945309	7.06%	34	18	46	36
